Category;Title;Description;Amount;Price;Lang
Coffees;Rövid kávé;;;10;HU
Coffees;Cafea scurtă;;;10;RO
Coffees;Espresso;;;10;EN
Coffees;Hosszú kávé;;;10;HU
Coffees;Cafea lungă;;;10;RO
Coffees;Americano;;;10;EN
Coffees;Jegeskávé;;;13;HU
Coffees;Cafea cu gheață;;;13;RO
Coffees;Iced Coffee;;;13;EN
Coffees;Ízesített jegeskávé;vanília / karamell / sós karamell / eper / pumpkin spice;;15;HU
Coffees;Cafea cu gheață aromată;vanilie / caramel / caramel sărat / căpșuni / pumpkin spice ;;15;RO
Coffees;Flavored Iced Coffee;vanilla / caramel / salted caramel / strawberry / pumpkin spice;;15;EN
Coffees;Latte;;;13;HU
Coffees;Latte;;;13;RO
Coffees;Latte;;;13;EN
Coffees;Ízesített latte;;;15;HU
Coffees;Latte aromată;;;15;RO
Coffees;Flavored Latte;;;15;EN
Teas;Tea;gyömbér / citrom / menta / barack-málna, erdei gyümölcs;;10;HU
Teas;Ceai;ghimbru / lămâie / mentă / piersică-zmeură / fructe de pădure;;10;RO
Teas;Tea;ginger / lemon / mint / peach-raspberry / forest fruit;;10;EN
Soft drinks;Coca Cola;;250 ml;10;HU
Soft drinks;Coca Cola;;250 ml;10;RO
Soft drinks;Coca Cola;;250 ml;10;EN
Soft drinks;Pepsi;;250 ml;10;HU
Soft drinks;Pepsi;;250 ml;10;RO
Soft drinks;Pepsi;;250 ml;10;EN
Soft drinks;Pepsi vintage;;250 ml;12;HU
Soft drinks;Pepsi vintage;;250 ml;12;RO
Soft drinks;Pepsi vintage;;250 ml;12;EN
Soft drinks;Coca Cola Zero;;250 ml;10;HU
Soft drinks;Coca Cola Zero;;250 ml;10;RO
Soft drinks;Coca Cola Zero;;250 ml;10;EN
Soft drinks;Fanta;narancs / szőlő;250 ml;10;HU
Soft drinks;Fanta;portocală / struguri;250 ml;10;RO
Soft drinks;Fanta;orange / grape;250 ml;10;EN
Soft drinks;Sprite;;250 ml;10;HU
Soft drinks;Sprite;;250 ml;10;RO
Soft drinks;Sprite;;250 ml;10;EN
Soft drinks;Schweppes;mandarin / pink / tonic / bitter lemon;250 ml;10;HU
Soft drinks;Schweppes;mandarină / pink / tonic / bitter lemon;250 ml;10;RO
Soft drinks;Schweppes;mandarin / pink / tonic/ bitter lemon;250 ml;10;EN
Soft drinks;Cappy;körte / barack / vérnarancs / narancs;250 ml;12;HU
Soft drinks;Cappy;pară / piersică / portocaliu sângeriu / portocale;250 ml;12;RO
Soft drinks;Cappy;pear / peach / blood orange / orange;250 ml;12;EN
Soft drinks;Santal;alma;200 ml;10;HU
Soft drinks;Santal;măr;200 ml;10;RO
Soft drinks;Santal;apple;200 ml;10;EN
Soft drinks;HELL;black cherry / strong apple / klasszikus;250 ml;8;HU
Soft drinks;HELL;cireșe negre / măr verde / clasic;250 ml;8;RO
Soft drinks;HELL;black cherry / green apple / classic;250 ml;8;EN
Soft drinks;RED BULL;;250 ml;13;HU
Soft drinks;RED BULL;;250 ml;13;RO
Soft drinks;RED BULL;;250 ml;13;EN
Soft drinks;Limonádé;kiwi / eper / mangó / málna / áfonya / dinnye / bodza / sárga dinnye;500 ml;14;HU
Soft drinks;Limonadă;kiwi / căpșuni / mango / zmeură / afine / pepene / soc / pepene galben;500 ml;14;RO
Soft drinks;Lemonade;kiwi / strawberry / mango / raspberry / blueberry / melon / elderberry / yellow melon;500 ml;14;EN
Soft drinks;FRESH;narancs;300 ml;15;HU
Soft drinks;FRESH;portocală;300 ml;15;RO
Soft drinks;FRESH;orange;300 ml;15;EN
